Label,prior,assign,OB,AG,C,ER,D
20135-NoIndex-L003-MERGED,D,D,9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996
20159-NoIndex-L005-MERGED,D,D,9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996
20511_NoIndex_L001-MERGED,OB,hybrid,0.487946,0.0322686,0.0836669,0.393267,0.00285134
20650-NoIndex-L007-MERGED,ER,ER,9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05
20658-NoIndex-L002-MERGED,C,hybrid,0.00348536,0.0605527,0.692565,0.0212482,0.222149
20708-NoIndex-L008-MERGED,AG,AG,9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05
20723-NoIndex-L007-MERGED,AG,AG,9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05
20731-NoIndex-L002-MERGED,ER,ER,0.0352055,0.0118643,0.0197524,0.929614,0.00356342
BUD15_merged,OB,OB,0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05
C-127,C,C,0.0115291,0.0368913,0.843363,0.0610299,0.0471866
C-133,AG,AG,9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05
C-147,AG,AG,9.997e-05,0.9996,9.997e-05,9.997e-05,9.997e-05
C-20504-PHRED33Repaired,ER,ER,0.044518,0.0283006,9.9991e-05,0.898964,0.0281175
C001-MERGED,ER,hybrid,0.165966,0.200616,0.192251,0.399723,0.0414445
C002-MERGED,OB,OB,0.928113,0.014622,0.00774702,0.0361698,0.0133477
C003-MERGED,D,D,0.00668711,9.9982e-05,9.9982e-05,0.0113579,0.981755
C004-MERGED,C,C,9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05
C005-MERGED,OB,OB,0.993425,9.9982e-05,0.000945292,9.9982e-05,0.00542961
C006-MERGED,OB,OB,0.909746,9.9973e-05,9.9973e-05,0.0899541,9.9973e-05
C007-MERGED,AG,AG,0.0367732,0.784314,0.0676622,0.0551649,0.0560856
C008-MERGED,ER,hybrid,0.326036,9.9973e-05,9.9973e-05,0.673664,9.9973e-05
C009-MERGED,D,D,9.9973e-05,9.9973e-05,9.9973e-05,0.00210653,0.997594
C010-MERGED,ER,ER,9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05
C011-MERGED,OB,OB,0.9996,9.997e-05,9.997e-05,9.997e-05,9.997e-05
C012-MERGED,OB,hybrid,0.492934,9.9973e-05,9.9973e-05,0.506766,9.9973e-05
C013-MERGED,AG,AG,0.00508463,0.963956,9.9982e-05,0.0307596,9.9982e-05
C014-MERGED,OB,hybrid,0.586589,9.9973e-05,9.9973e-05,0.413112,9.9973e-05
C016-MERGED,C,C,9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05
C017-MERGED,OB,OB,0.977666,0.0116724,0.000536521,9.9991e-05,0.0100253
C018-MERGED,ER,ER,9.9982e-05,0.0201973,9.9982e-05,0.973258,0.0063447
C019-MERGED,ER,ER,0.00521577,0.0112543,0.00101495,0.965194,0.0173213
C020-MERGED,C,C,0.0250704,0.0188856,0.876734,0.0791649,0.000144856
C021-MERGED,D,D,9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996
C022-MERGED,ER,ER,9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05
C023-MERGED,OB,OB,0.990608,0.00580387,9.9982e-05,9.9982e-05,0.00338802
C025-MERGED,OB,OB,0.920708,0.0225707,0.00537435,0.0330286,0.0183183
C026-MERGED,ER,ER,9.9982e-05,0.225954,9.9982e-05,0.765195,0.00865087
C027-MERGED,D,D,0.00165229,9.9973e-05,9.9973e-05,9.9973e-05,0.998048
C029-MERGED,OB,OB,0.782437,9.9973e-05,9.9973e-05,0.217263,9.9973e-05
C030-MERGED,OB,hybrid,0.539137,0.0360284,0.0504551,0.36562,0.00875922
C031-MERGED,OB,hybrid,0.574129,0.0187085,0.0498883,0.356835,0.000439526
C032-MERGED,OB,OB,0.987659,0.00926179,0.00157402,9.9991e-05,0.0014052
C033-MERGED,D,D,9.997e-05,9.997e-05,9.997e-05,9.997e-05,0.9996
C034-MERGED,ER,ER,0.0326234,9.9973e-05,9.9973e-05,0.967077,9.9973e-05
C035-MERGED,OB,OB,0.811575,9.9973e-05,9.9973e-05,0.188125,9.9973e-05
C037-MERGED,OB,hybrid,0.327853,9.9982e-05,0.0079542,0.663993,9.9982e-05
C038-MERGED,D,D,0.00928527,0.0110693,0.0260632,0.0170158,0.936566
C039-MERGED,C,C,9.9973e-05,9.9973e-05,0.974812,0.0248885,9.9973e-05
C040-MERGED,C,C,9.9991e-05,0.0491874,0.720882,0.00374866,0.226082
C041-MERGED,OB,hybrid,0.412498,9.9973e-05,9.9973e-05,0.587202,9.9973e-05
C042-MERGED,C,C,9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05
C044-MERGED,ER,ER,9.9991e-05,0.00215023,0.0637187,0.910338,0.0236933
C045-MERGED,ER,ER,9.997e-05,9.997e-05,9.997e-05,0.9996,9.997e-05
C047-MERGED,OB,hybrid,0.505273,9.9973e-05,9.9973e-05,0.494427,9.9973e-05
C403-Boim7-2LanesMerged,AG,hybrid,0.066271,0.692772,0.0884024,0.086261,0.0662936
C404-Briz2-2LanesMerged,AG,AG,0.0567135,0.720721,0.0890751,0.06929,0.0642008
D-7,C,C,9.997e-05,9.997e-05,0.9996,9.997e-05,9.997e-05
D-8,D,D,0.0123894,0.0328329,0.0686549,0.0226912,0.863432
K4Y17Y2-NoIndex-L002-MERGED,ER,ER,9.9982e-05,0.00451103,9.9982e-05,0.982734,0.0125553
ZO16,OB,OB,0.932315,0.0168482,9.9991e-05,0.0354528,0.0152839
