district	province	yield
Buon Don	Đắk Lắk	2.58081011374832
Buon Ma Thuot	Đắk Lắk	2.55447620304068
Cu Kuin	Đắk Lắk	2.56695255392875
Cu M'gar	Đắk Lắk	2.30351772261136
Ea H'leo	Đắk Lắk	2.5386766304712
Ea Kar	Đắk Lắk	1.82094518476619
Ea Sup	Đắk Lắk	2.70921552607002
Krong A Na	Đắk Lắk	2.84230491095137
Krong Bong	Đắk Lắk	2.03202160774656
Krong Buk	Đắk Lắk	2.367114020782
Krong Nang	Đắk Lắk	2.93657034504681
Krong Pac	Đắk Lắk	2.33013679364418
Lak	Đắk Lắk	2.21850340203643
M'Drak	Đắk Lắk	1.38253270646942
Buon Ho	Đắk Lắk	2.51476273640656
Cu Jut	Đắk Nông	2.36860925131168
Dak Mil	Đắk Nông	2.50040756274297
Dak R'Lap	Đắk Nông	2.38179978887665
Dak Song	Đắk Nông	2.43624601144056
Dak Glong	Đắk Nông	2.24064809732873
Gia Nghia	Đắk Nông	2.30961150234281
Krong No	Đắk Nông	2.4218713723316
Tuy Duc	Đắk Nông	2.16943449129328
Chu Pah	Gia Lai	2.42295654525494
Chu Prong	Gia Lai	2.91566924830144
Chu Puh	Gia Lai	3.39204508130325
Chu Se	Gia Lai	2.6636031613308
Duc Co	Gia Lai	2.92139197132668
Dak Doa	Gia Lai	2.77169592878456
Ia Grai	Gia Lai	2.90943641714193
KBang	Gia Lai	1.9051208102018
Mang Yang	Gia Lai	2.49542671981598
Pleiku	Gia Lai	2.76184880929049
Dak Glei	Kon Tum	1.24352792827374
Dak Ha	Kon Tum	3.13107347254369
Đắk Tô	Kon Tum	3.1319910633303
Ia H' Drai	Kon Tum	1.7895648786551
Kon Plông	Kon Tum	1.08539869581723
Kon Ray	Kon Tum	2.25507164845223
Kon Tum	Kon Tum	2.14015690936673
Ngọc Hồi	Kon Tum	2.25695216809259
Sa Thay	Kon Tum	2.38888805909652
Tu Mơ Rông	Kon Tum	0.925526478223537
Phước Long	Bình Phước	1.86044992593047
Đồng Xoài	Bình Phước	2.59831881261933
Bình Long	Bình Phước	1.48714391403895
Bù Gia Mập	Bình Phước	1.93637931078481
Phú Riềng	Bình Phước	2.23249889181976
Lộc Ninh	Bình Phước	1.69255321996528
Bù Đốp	Bình Phước	1.72366412656486
Hớn Quản	Bình Phước	1.73499460495674
Dong Phu	Bình Phước	1.55629953196529
Bu Dang	Bình Phước	2.19453636877958
Chơn Thành	Bình Phước	1.21428571428571
Khánh Vĩnh	Khánh Hòa	1.1875
Khánh Sơn	Khánh Hòa	1.78656253583719
