Label,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,Lat,Long,snp_group
BUD15_merged,234,120,81,806,316,168,148,225,241,245,224,1267,159,32,41,436,122,176,382,1.915651,31.725715,OB
C-20504-PHRED33Repaired,248,120,71,740,330,162,168,245,244,258,239,1611,227,19,56,665,83,276,120,5.067,20.675,ER
C001-MERGED,229,121,73,1000,294,130,164,233,212,238,212,1374,231,1,70,567,13,532,13,-6.91667,16.35,hb
C002-MERGED,240,114,83,490,312,176,136,236,242,246,233,1800,203,68,30,573,234,435,553,1.39855,28.56766667,OB
C003-MERGED,242,127,69,973,333,149,184,231,241,255,231,1737,317,13,66,824,83,285,824,8.57,-8.06,D
C004-MERGED,244,109,72,976,326,176,150,234,250,257,231,1409,233,9,66,653,41,204,610,5.485614,15.510499,C
C005-MERGED,244,129,72,1241,340,161,179,230,256,261,230,1268,184,13,52,507,71,112,507,3.131636094,31.65631864,OB
C006-MERGED,211,112,84,417,275,142,133,213,204,215,204,1468,264,35,57,679,140,370,140,-0.87633161078526,31.7569337492095,OB
C007-MERGED,230,75,55,2055,295,159,136,250,199,250,199,1148,207,1,78,521,7,521,7,-5.51666666666666,13.3666666666666,AG
C008-MERGED,242,114,83,499,314,178,136,237,244,248,234,1778,201,66,30,565,228,429,549,1.65944444444444,28.6413888888888,hb
C009-MERGED,264,114,71,1171,350,191,159,248,263,280,248,1142,229,7,68,525,48,216,525,8.29,-5.45,D
C010-MERGED,249,109,77,586,323,182,141,247,248,257,244,1639,232,30,48,630,118,303,181,3.892123,18.45078,ER
C011-MERGED,229,118,80,773,310,164,146,221,235,239,219,1348,180,32,43,452,123,176,378,1.63725739915758,31.4073512256068,OB
C012-MERGED,217,114,83,583,288,151,137,220,208,223,208,1368,199,67,32,475,249,282,249,0.468134473673642,32.9105519726725,hb
C013-MERGED,256,85,65,1326,319,189,130,262,236,270,236,1961,366,1,71,829,13,710,13,-2.041333,9.537499,AG
C014-MERGED,240,114,85,470,311,177,134,235,242,245,233,1798,203,68,30,573,234,434,553,1.64111111111111,28.6083333333333,hb
C016-MERGED,245,103,79,614,312,183,129,242,245,253,237,1611,227,53,39,595,202,387,448,2.06,15.6,C
C017-MERGED,206,120,85,360,280,139,141,204,207,211,202,1254,179,44,43,485,178,313,219,0.48149183772995,30.4364210469026,OB
C019-MERGED,257,111,79,602,323,183,140,259,248,264,248,1616,204,11,47,596,119,477,119,-4.966667,23.433333,ER
C020-MERGED,250,105,78,583,319,186,133,245,250,258,244,1633,222,40,40,599,165,345,508,2.35,16.15,C
C021-MERGED,264,105,75,1054,339,199,140,254,265,277,249,1267,222,16,55,469,83,315,428,7.11,-6.04,D
C022-MERGED,232,125,85,561,309,163,146,233,230,238,225,1595,249,51,48,632,184,505,274,2.07,14,ER
C023-MERGED,197,119,83,423,272,130,142,194,198,203,192,1435,200,41,43,522,168,379,367,0.820386404735189,30.4343283800416,OB
C025-MERGED,243,118,83,647,320,179,141,249,247,251,235,1008,133,25,39,327,104,134,301,1.566667,30.533333,OB
C026-MERGED,238,77,77,791,295,195,100,227,243,247,227,3031,543,38,64,1440,155,466,1440,4.058611,9.228055,ER
C027-MERGED,249,129,71,877,340,159,181,238,248,260,238,1969,357,15,67,952,97,412,952,7.34,-8.18,D
C029-MERGED,207,115,83,419,272,134,138,209,200,211,200,1233,222,24,58,568,100,461,100,-0.911630009521838,31.5971782995545,OB
C030-MERGED,245,99,85,425,308,192,116,243,246,250,239,1768,228,74,29,611,281,417,472,0.805,24.5,hb
C031-MERGED,245,99,85,425,308,192,116,243,246,250,239,1768,228,74,29,611,281,417,472,0.805,24.5,hb
C032-MERGED,244,114,85,432,314,181,133,240,246,249,238,1738,197,66,29,550,232,423,531,1.3667,28.55,OB
C033-MERGED,253,112,70,1044,335,176,159,243,256,267,239,1271,237,14,62,585,81,224,552,7.921969,-6.702433,D
C034-MERGED,252,104,83,575,321,196,125,246,254,259,245,1758,201,57,32,584,217,411,514,1.586662,17.845006,ER
C035-MERGED,211,112,84,417,275,142,133,213,204,215,204,1468,264,35,57,679,140,370,140,-0.876476369194056,31.7570415294463,OB
C037-MERGED,248,99,85,435,310,194,116,245,249,253,241,1762,227,73,29,607,278,414,473,0.81667,24.53333,ER
C038-MERGED,265,91,71,1076,337,210,127,270,271,278,250,1471,246,22,54,597,108,347,353,6.389999,-3.004722,D
C039-MERGED,238,102,76,724,309,175,134,233,239,248,229,1539,270,14,63,692,63,266,465,4.93,13.5,C
C040-MERGED,243,94,77,845,313,192,121,235,251,254,232,1528,291,10,67,684,55,299,500,4.716,11.66,C
C041-MERGED,214,102,82,525,275,151,124,218,207,220,206,2126,328,91,45,897,296,500,342,-0.313303072621806,32.3011436574356,hb
C042-MERGED,244,109,72,976,326,176,150,234,250,257,231,1409,233,9,66,653,41,204,610,5.485614,15.510499,C
C044-MERGED,258,137,68,988,357,157,200,252,251,272,248,2542,428,12,65,1137,82,512,1127,8.5,-10.516667,ER
C045-MERGED,238,107,81,508,305,174,131,237,236,245,232,1542,235,32,45,570,158,507,381,3.29,14.48,ER
C047-MERGED,214,105,82,521,278,150,128,217,207,220,207,1767,287,64,48,758,237,395,266,-0.277630537951889,32.1398649409645,hb
