"","Label","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","elevation"
"1","BUD15_O",234,120,81,806,316,168,148,225,241,245,224,1267,159,32,41,436,122,176,382,1025
"2","C-20504PHRED33Repaired_E",249,120,71,724,331,164,167,247,246,259,241,1606,226,19,57,663,82,275,119,542
"3","C001-MERGED_G",233,121,72,1068,299,133,166,238,215,243,215,1349,225,1,70,554,14,522,14,758
"4","C002-MERGED_B",245,114,84,420,315,180,135,241,246,250,239,1731,196,66,29,547,231,422,530,763
"5","C003-MERGED_D",248,120,68,1029,336,162,174,238,247,262,238,1529,279,8,69,739,55,230,739,532
"6","C004-MERGED_C",244,109,72,976,326,176,150,234,250,257,231,1409,233,9,66,653,41,204,610,754
"7","C005-MERGED_B",244,129,72,1241,340,161,179,230,256,261,230,1268,184,13,52,507,71,112,507,942
"8","C006-MERGED_O",211,112,84,417,275,142,133,213,204,215,204,1468,264,35,57,679,140,370,140,1139
"9","C007-MERGED_NA",230,75,55,2055,295,159,136,250,199,250,199,1148,207,1,78,521,7,521,7,466
"10","C008-MERGED_NA",242,114,83,499,314,178,136,237,244,248,234,1778,201,66,30,565,228,429,549,830
"11","C009-MERGED_D",269,115,72,1153,355,197,158,254,269,284,254,1096,220,8,67,486,47,219,486,252
"12","C010-MERGED_E",249,109,77,586,323,182,141,247,248,257,244,1639,232,30,48,630,118,303,181,372
"13","C011-MERGED_O",229,118,80,773,310,164,146,221,235,239,219,1348,180,32,43,452,123,176,378,1093
"14","C012-MERGED_O",217,114,83,583,288,151,137,220,208,223,208,1368,199,67,32,475,249,282,249,1155
"15","C013-MERGED_A",256,85,65,1326,319,189,130,262,236,270,236,1961,366,1,71,829,13,710,13,12
"16","C014-MERGED_EB",240,114,85,470,311,177,134,235,242,245,233,1798,203,68,30,573,234,434,553,896
"17","C016-MERGED_O",245,103,79,616,312,183,129,242,245,253,237,1610,227,52,39,595,201,387,448,467
"18","C017-MERGED_O",206,120,85,360,280,139,141,204,207,211,202,1254,179,44,43,485,178,313,219,1340
"19","C019-MERGED_E",257,111,79,602,323,183,140,259,248,264,248,1616,204,11,47,596,119,477,119,430
"20","C020-MERGED_C",251,105,79,539,319,187,132,246,251,258,245,1630,222,39,41,598,164,344,507,369
"21","C021-MERGED_D",264,105,75,1054,339,199,140,254,265,277,249,1267,222,16,55,469,83,315,428,220
"22","C022-MERGED_E",234,126,85,567,312,164,148,235,232,241,227,1584,246,51,47,629,186,500,269,543
"23","C023-MERGED_O",197,119,83,423,272,130,142,194,198,203,192,1435,200,41,43,522,168,379,367,1493
"24","C025-MERGED_NA",243,118,83,647,320,179,141,249,247,251,235,1008,133,25,39,327,104,134,301,712
"25","C026-MERGED_E",238,77,77,791,295,195,100,227,243,247,227,3031,543,38,64,1440,155,466,1440,241
"26","C027-MERGED_D",249,129,71,877,340,159,181,238,248,260,238,1969,357,15,67,952,97,412,952,383
"27","C029-MERGED_O",207,115,83,419,272,134,138,209,200,211,200,1233,222,24,58,568,100,461,100,1159
"28","C030-MERGED_B",245,99,85,411,308,192,116,243,247,250,239,1767,228,74,29,611,281,416,472,446
"29","C031-MERGED_B",245,99,85,411,308,192,116,243,247,250,239,1767,228,74,29,611,281,416,472,446
"30","C032-MERGED_B",245,114,85,406,315,181,134,241,246,250,239,1733,197,66,29,549,231,422,531,756
"31","C033-MERGED_D",253,112,70,1044,335,176,159,243,256,267,239,1271,237,14,62,585,81,224,552,338
"32","C034-MERGED_E",252,104,83,575,321,196,125,246,254,259,245,1758,201,57,32,584,217,411,514,335
"33","C035-MERGED_O",211,112,84,417,275,142,133,213,204,215,204,1468,264,35,57,679,140,370,140,1139
"34","C037-MERGED_O",248,99,85,435,310,194,116,245,249,253,241,1762,227,73,29,607,278,414,473,417
"35","C038-MERGED_O",265,91,71,1076,337,210,127,270,271,278,250,1471,246,22,54,597,108,347,353,191
"36","C039-MERGED_C",238,102,76,725,309,176,133,232,240,248,229,1541,270,14,63,693,63,267,551,663
"37","C040-MERGED_C",243,94,77,845,313,192,121,235,251,254,232,1528,291,10,67,684,55,299,500,689
"38","C041-MERGED_O",214,102,82,525,275,151,124,218,207,220,206,2126,328,91,45,897,296,500,342,1181
"39","C042-MERGED_O",244,109,72,976,326,176,150,234,250,257,231,1409,233,9,66,653,41,204,610,754
