"Label","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","elevation"
"BUD15_merged",23.3999996185303,10.5666666030884,80.6615753173828,78.4509048461914,30.5,17.3999996185303,13.1000003814697,22.6000003814697,24.1166667938232,24.3999996185303,22.4500007629395,1197,147,26,43.0842933654785,414,111,156,366,1022
"C-20504-PHRED33Repaired",24.9541664123535,11.7416667938232,69.8908767700195,83.3246459960938,33.5,16.7000007629395,16.7999992370605,24.5166664123535,24.8333339691162,26.1666679382324,24.2666664123535,1586,226,17,59.4599571228027,657,75,271,116,464
"C001-MERGED",23.0666675567627,11.0999994277954,71.1538467407227,122.536323547363,29.3999996185303,13.8000001907349,15.5999994277954,23.6666660308838,21.1666660308838,24.1000003814697,21.1666660308838,1429,232,2,71.1279830932617,587,14,539,14,701
"C002-MERGED",24.1666660308838,10.0500001907349,87.3913040161133,38.0987434387207,30.2999992370605,18.7999992370605,11.5,23.7999992370605,24.3833332061768,24.6499996185303,23.6833343505859,1682,187,62,28.946662902832,526,235,421,491,766
"C003-MERGED",24.6291675567627,14.8583335876465,64.601448059082,118.176635742188,36.4000015258789,13.3999996185303,23.0000019073486,23.5166664123535,24.4833335876465,26.2666664123535,23.5166664123535,1461,285,6,79.8870239257812,761,40,193,761,524
"C004-MERGED",24.125,10.716667175293,70.043571472168,94.0623626708984,32.4000015258789,17.1000003814697,15.3000011444092,23.1833343505859,24.6333332061768,25.3999996185303,23,1442,254,7,75.4513854980469,703,30,186,671,734
"C005-MERGED",24.3250007629395,11.25,68.1818084716797,133.066955566406,32.9000015258789,16.3999996185303,16.5000019073486,22.9166660308838,25.6333332061768,26.1166667938232,22.9166660308838,1269,171,13,53.3937301635742,486,67,109,486,929
"C006-MERGED",21.2708339691162,8.94166660308838,84.355354309082,43.8726615905762,26.3999996185303,15.8000001907349,10.5999994277954,21.466667175293,20.6833324432373,21.7666664123535,20.6833324432373,1362,243,32,59.1529083251953,633,124,359,124,1146
"C007-MERGED",23.2291660308838,8.19166660308838,58.0969276428223,207.544738769531,29.8999996185303,15.8000001907349,14.0999994277954,25.1166667938232,20.216667175293,25.1166667938232,20.216667175293,1131,209,2,80.7004852294922,519,9,519,9,435
"C008-MERGED",23.9833335876465,10.1166667938232,87.212646484375,45.0925064086914,30.2000007629395,18.6000003814697,11.6000003814697,23.5499992370605,24.2666664123535,24.533332824707,23.3999996185303,1735,192,61,30.8781414031982,552,227,424,521,822
"C009-MERGED",26.3916664123535,10.1666660308838,66.8859634399414,133.430816650391,34.7999992370605,19.6000003814697,15.1999988555908,24.7666664123535,26.2999992370605,28.216667175293,24.7666664123535,1042,185,6,68.6001052856445,476,40,197,476,265
"C010-MERGED",24.779167175293,9.97500038146973,75.5681762695312,58.1322250366211,31.6000003814697,18.3999996185303,13.2000007629395,24.5166664123535,24.6166667938232,25.5833339691162,24.283332824707,1610,219,36,46.6798858642578,607,132,407,200,367
"C011-MERGED",22.9500007629395,10.5833330154419,78.9801025390625,82.8196258544922,30.3999996185303,17,13.3999996185303,22.5,23.7000007629395,24.0833339691162,21.9500007629395,1245,164,27,44.7219276428223,426,116,159,355,1094
"C012-MERGED",21.6333332061768,10.0166664123535,83.4722290039062,56.7022972106934,27.7999992370605,15.8000001907349,11.9999990463257,21.9833335876465,22,22.216667175293,20.8166675567627,1340,183,67,34.4158477783203,462,232,269,240,1151
"C013-MERGED",25.1958332061768,6.02499961853027,56.8396186828613,151.304321289062,30.3999996185303,19.7999992370605,10.6000003814697,25.9500007629395,23.0499992370605,26.7333335876465,23.0499992370605,1763,352,1,76.3339462280273,757,17,658,17,5
"C014-MERGED",23.716667175293,10.0666666030884,86.781608581543,44.3812599182129,29.8999996185303,18.2999992370605,11.6000003814697,23.2999992370605,23.9833335876465,24.2666664123535,23.1333332061768,1754,194,62,30.6671295166016,560,231,429,526,878
"C016-MERGED",24.5874996185303,10.125,82.9917984008789,68.161735534668,31.1000003814697,18.8999996185303,12.2000007629395,24.3333339691162,24.6833324432373,25.466667175293,23.8000011444092,1593,223,51,41.0220489501953,586,197,379,446,468
"C017-MERGED",20.4500007629395,10.3333330154419,86.8347320556641,38.3168678283691,26.7000007629395,14.8000001907349,11.9000005722046,20.2999992370605,20.6499996185303,20.966667175293,20.0499992370605,1248,183,43,45.2501678466797,492,182,309,210,1344
"C019-MERGED",25.2000007629395,10.7000007629395,82.9457321166992,35.3553504943848,31.7000007629395,18.7999992370605,12.9000015258789,25.0499992370605,24.9500007629395,25.6833343505859,24.9166660308838,1572,200,13,49.6933174133301,589,115,444,229,419
"C020-MERGED",24.8541660308838,9.92500019073486,83.4033660888672,63.8342323303223,31.2999992370605,19.3999996185303,11.8999996185303,24.3166656494141,24.8833332061768,25.7000007629395,24.1333332061768,1593,216,40,41.4018402099609,584,166,442,492,367
"C021-MERGED",25.9416656494141,10.1499996185303,69.5205383300781,106.468795776367,33.9000015258789,19.2999992370605,14.6000022888184,25.0499992370605,25.7333335876465,27.3999996185303,24.6833324432373,1161,190,13,57.0795745849609,442,69,268,422,224
"C022-MERGED",23.7250003814697,13.0499992370605,85.2941055297852,67.5378799438477,31.6000003814697,16.2999992370605,15.3000011444092,23.6333332061768,23.5999984741211,24.6499996185303,23.0166664123535,1611,262,46,50.7956352233887,631,170,519,291,540
"C023-MERGED",19.779167175293,10.7250003814697,85.1190490722656,43.6128807067871,26.3999996185303,13.8000001907349,12.5999994277954,19.5666656494141,20,20.3666667938232,19.2999992370605,1417,197,40,45.7061157226562,521,164,380,272,1477
"C025-MERGED",24.158332824707,9.86666679382324,81.5427093505859,69.0465393066406,30.7999992370605,18.7000007629395,12.0999984741211,24.7333335876465,24.6833343505859,25.0833339691162,23.3999996185303,1053,137,23,41.500415802002,342,105,137,322,762
"C026-MERGED",24.8083324432373,7.26666641235352,74.1496505737305,85.9395599365234,30.2000007629395,20.3999996185303,9.80000114440918,23.7999992370605,25.3999996185303,25.8333339691162,23.6499996185303,2990,560,28,71.6627197265625,1450,127,412,1420,245
"C027-MERGED",24.7541675567627,14.1416664123535,74.8236389160156,77.0908279418945,34.5,15.6000003814697,18.8999996185303,23.8166656494141,24.716667175293,25.6499996185303,23.8166656494141,1964,350,15,70.2162094116211,947,92,422,947,372
"C029-MERGED",20.841667175293,9.51666641235352,84.2182922363281,44.253059387207,26.2999992370605,15,11.2999992370605,21.0500011444092,20.216667175293,21.2999992370605,20.216667175293,1188,217,21,60.442310333252,548,89,453,89,1155
