SeqName	length	bit-score	eValue	hitName	GOs	ACC
contig_1851	674	156.377	1.478E-43	gb|KZV42146.1|adenosylmethionine-8-amino-7-oxononanoate aminotransferase [Dorcoceras hygrometricum]	GO:0030170, GO:0003824, GO:0008483, GO:1901566, GO:0016740	A0A2Z7C5F8	
contig_1349	524	122.865	1.01581E-31	gb|KAF1853295.1|hypothetical protein Lal_00009658 [Lupinus albus]	GO:0098869, GO:0051920	A0A6A5L132	
contig_190	708	38.891	1.36685	dbj|GFB10580.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0016209, GO:0016491, GO:0140824, GO:0098869	A0A699KXD4	
contig_1993	527	65.4698	4.28897E-10	dbj|GFB10580.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0016209, GO:0016491, GO:0140824, GO:0098869	A0A699KXD4	
contig_2148	596	166.007	5.4894E-46	dbj|GFB10580.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0016209, GO:0016491, GO:0140824, GO:0098869	A0A699KXD4	
contig_3180	533	45.4394	0.00259826	dbj|GFC59991.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0004096, GO:0020037, GO:0098869	A0A699Q3C6	
contig_1102	542	104.76	1.16727E-25	gb|EEF25075.1|Protein cotJC, putative [Ricinus communis]	GO:0004601, GO:0009507, GO:0016491, GO:0004096, GO:0098869	B9TGD9	
contig_356	564	39.2762	0.682833	ref|XP_038982900.1|uncharacterized protein LOC120110927 [Phoenix dactylifera]	GO:0090502, GO:0046872, GO:0004523, GO:0003676	A0A8B9A8B5	
contig_861	577	78.1814	3.97342E-14	ref|XP_027096074.1|uncharacterized protein LOC113715969 [Coffea arabica]	GO:0090502, GO:0046872, GO:0004523, GO:0003676	A0A6P6UZ12	
contig_1810	655	35.039	14.7637	ref|XP_016700063.1|uncharacterized protein LOC107915411 [Gossypium hirsutum]	GO:0090502, GO:0004523, GO:0003676	A0A1U8KGH5	
contig_2304	527	35.4242	9.45194	dbj|GAU41237.1|hypothetical protein TSUD_280360 [Trifolium subterraneum]	GO:0090502, GO:0004523, GO:0003676	A0A2Z6PCL9	
contig_3357	669	67.781	3.71361E-11	dbj|BDA42063.1|probable endonuclease lcl3 [Coccomyxa sp. Obi]	GO:0090305, GO:0004519	A0A8J9S622	
contig_2527	1140	67.0106	4.89909E-11	gb|EEF25141.1|conserved hypothetical protein [Ricinus communis]	GO:0090305, GO:0004518, GO:0016020, GO:0016021, GO:0004519	B9TG73	
contig_2926	659	130.568	1.21889E-32	dbj|GFB77887.1|hypothetical protein [Tanacetum cinerariifolium]	GO:0090305, GO:0004518, GO:0004519	A0A699MFB9	
contig_1942	831	74.3294	2.27795E-12	gb|KAF6257832.1|bifunctional nuclease-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	GO:0090305, GO:0004518	A0A7J7Q144	
contig_406	704	41.9726	0.0695545	gb|AAL27403.1|paclitaxel/taxanoid biosynthesis susceptibility protein TS1, partial [Taxus chinensis]	GO:0090305, GO:0004519, GO:0003676	Q944N7	
contig_1853	527	305.449	1.73893E-95	gb|KAF1853334.1|hypothetical protein Lal_00009700 [Lupinus albus]	GO:0090305, GO:0000166, GO:0004518, GO:0016020, GO:0016021, GO:0005524, GO:0016887	A0A6A5KR96	
contig_1918	583	224.942	1.50815E-65	gb|KAF1853334.1|hypothetical protein Lal_00009700 [Lupinus albus]	GO:0090305, GO:0000166, GO:0004518, GO:0016020, GO:0016021, GO:0005524, GO:0016887	A0A6A5KR96	
contig_3027	656	297.36	1.22318E-91	gb|KAF1853334.1|hypothetical protein Lal_00009700 [Lupinus albus]	GO:0090305, GO:0000166, GO:0004518, GO:0016020, GO:0016021, GO:0005524, GO:0016887	A0A6A5KR96	
